City,Restaurant,Price,Avg ratings,Total ratings,Delivery time
Chennai,Cafe Arabica,700,4.4,500,60
Mumbai,Dimsum (Momo) Express,200,4.1,100,54
Bangalore,30 Square,300,2.9,80,64
Chennai,Hotel Pentagon,350,4.1,20,73
Kolkata,China Whites,1000,4.1,50,73
Kolkata,Gabbar'S Bar & Kitchen,1400,2.9,80,74
Delhi,Sfc Soya Chaap ( Shalimar Bagh),200,4.1,100,64
Delhi,Rolls 57 By Vhc,150,2.9,80,49
Delhi,Sunil Momos.Com,300,3.3,100,52
Mumbai,Deluxe Restaurant,400,4.2,500,33
Kolkata,Hungry Tide,350,4.5,1000,71
Kolkata,Mezban Ripon Street,300,3.9,1000,48
Kolkata,Deli Cravings,650,4.2,50,66
Kolkata,Tea Junction,150,4,50,42
Pune,Sarjaa Restaurant & Bar,1100,4.3,100,65
Pune,Mukul'S Eastern Spice,300,4,500,63
Mumbai,Hoddogs,250,3.7,50,50
Mumbai,Malvan Tadka,250,4.2,50,56
Mumbai,Aparna,750,4.5,50,50
Chennai,Asian Station,1400,4.5,100,66
Chennai,New Seoul,1500,4.3,20,64
Kolkata,10 Downing Street,1000,4,20,78
Kolkata,Calcutta 64,550,4.4,100,60
Kolkata,Anir'S,400,4.2,100,72
Mumbai,Sindhi Society Gymkhana( Aparna Caters),400,4.1,1000,46
Delhi,Dunkin Donuts,250,4.3,100,72
Pune,Sp'S Biryani House,600,4.2,500,37
Pune,Nisarg,1200,4.4,100,48
Chennai,Kabab Corner,350,4.4,100,45
Pune,Nation 52,300,4.3,100,61
Kolkata,Sigree Global Grill,700,3.8,20,77
Pune,Bhujbal Bandhu-Hotel Apulki,400,4.1,100,61
Mumbai,Krishnaa Leela,450,4.3,100,45
Mumbai,Kumar Lunch Home (Bar & Restaurant),400,3.7,20,47
Mumbai,Kings Snack Bar,500,3.9,100,53
Pune,Hite Bar,200,4.3,100,64
Mumbai,Zaika,250,3.9,1000,51
Kolkata,Mushroom,500,4.4,50,44
Kolkata,Fusion,500,4.6,100,44
Kolkata,Lebanese Junction - Steak House,350,4.4,500,50
Delhi,Sahni Fish Corner,700,4.2,50,33
Pune,Koffee Villa,200,2.9,80,72
Pune,Tahari House,200,4.4,100,62
Bangalore,Szechuan Dragon,500,4.1,500,57
Mumbai,Shloka Dining Bar,600,4.3,50,54
Bangalore,Cafe Mondo,500,4.4,50,52
Kolkata,Cafe Drifter,650,2.9,80,78
Chennai,Rottu Kadai Food Court,250,4.1,50,68
Delhi,Kukki Da Dhaba,300,4.2,50,55
Mumbai,Sai Fast Food & Chinese Corner,300,4.1,100,56
Bangalore,Suryawanshi,600,4.1,100,54
Chennai,Nasi Kandar Pelita,500,4.5,100,67
Pune,Fabio Food Court,350,4.1,500,73
Delhi,Oven Story Pizza,600,3.6,100,47
Pune,Pizza Hut,350,3.9,100,36
Chennai,Ksg Queen Pizza,150,3.2,50,70
Kolkata,The Steak & Grill,1100,4.2,100,65
Mumbai,Hotel Dashmesh Punjab,400,2.9,80,38
Delhi,Punjabi'S Eating Hub,400,4.2,100,44
Mumbai,Wok Hei,400,4.2,100,55
Mumbai,Hotel Grand Central,1100,4.5,100,48
Chennai,Hotel Arafa,400,4,100,58
Chennai,Dhaba Estd 1986 Delhi,900,4.2,100,52
Mumbai,East End Deli,400,4.4,100,52
Bangalore,Dhaba Estd 1986 Delhi,900,4.2,100,58
Pune,The Oyster,900,2.9,80,59
Pune,The Sassy Spoon,1200,4.3,50,62
Delhi,Metro Grill,500,2.9,80,45
Hyderabad,The Shawarma'S,200,4.1,50,47
Hyderabad,A-1 Chicken Pakoda,250,4.1,500,41
Mumbai,Cafe Udipi,500,4.3,1000,45
Chennai,Achu'S Cakes & Bakes,150,2.9,80,71
Chennai,The Waterfall Restaurant,500,3.9,50,80
Delhi,Imly,500,3.6,50,71
Delhi,Khalsa Restaurant,300,4.1,500,73
Pune,Abhishek Non Veg Restaurant,800,4.3,100,40
Kolkata,Dinner House,500,4.4,100,57
